PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,MONTH
2518.00,AS,Alaska Airlines Inc.,PDX,PHX,888,1
2520.00,AA,American Airlines Inc.,AUS,SJU,614,1
2520.00,AS,Alaska Airlines Inc.,SEA,ONT,634,1
2520.00,B6,JetBlue Airways,TPA,BDL,694,1
2520.00,MQ,Envoy Air,SGF,DFW,675,1
2520.00,OO,SkyWest Airlines Inc.,PHX,FAT,631,1
2520.00,UA,United Air Lines Inc.,LAS,IAD,614,1
2520.00,XP,TEM Enterprises dba  Avelo Airlines,HVN,PBI,612,1
2521.00,UA,United Air Lines Inc.,SEA,DEN,698,1
2522.00,DL,Delta Air Lines Inc.,LAX,PDX,888,1
2522.00,NK,Spirit Air Lines,PHL,LAS,722,1
2523.00,AS,Alaska Airlines Inc.,SEA,KOA,888,1
2523.00,WN,Southwest Airlines Co.,ATL,STL,614,1
2524.00,UA,United Air Lines Inc.,MCO,SFO,622,1
2525.00,YV,Mesa Airlines Inc.,IAH,IND,673,1
2526.00,B6,JetBlue Airways,MCO,BUF,694,1
2526.00,UA,United Air Lines Inc.,CLE,LAX,614,1
2527.00,DL,Delta Air Lines Inc.,MSP,MCO,699,1
2527.00,G7,GoJet Airlines LLC d/b/a United Express,CVG,EWR,530,1
2527.00,OO,SkyWest Airlines Inc.,OAK,SLC,673,1
2528.00,9E,Endeavor Air Inc.,BUF,JFK,638,1
2528.00,C5,CommuteAir LLC dba CommuteAir,SHV,IAH,675,1
2528.00,NK,Spirit Air Lines,BWI,LAX,722,1
2529.00,OO,SkyWest Airlines Inc.,GUC,DEN,631,1
2529.00,UA,United Air Lines Inc.,CID,DEN,694,1
2530.00,AA,American Airlines Inc.,MIA,SAT,838,1
2530.00,G4,Allegiant Air,IND,PGD,694,1
2530.00,OO,SkyWest Airlines Inc.,LSE,MSP,629,1
2530.00,WN,Southwest Airlines Co.,BNA,LAX,612,1
2531.00,AS,Alaska Airlines Inc.,SAN,SEA,634,1
2531.00,B6,JetBlue Airways,FLL,JFK,678,1
2531.00,OO,SkyWest Airlines Inc.,DEN,CID,629,1
2531.00,OO,SkyWest Airlines Inc.,MSP,EWR,673,1
2533.00,WN,Southwest Airlines Co.,LAX,DEN,612,1
2533.00,WN,Southwest Airlines Co.,PHX,PSP,612,1
2534.00,9E,Endeavor Air Inc.,DSM,ATL,638,1
2534.00,F9,Frontier Airlines Inc.,LAS,BUR,722,1
2534.00,MQ,Envoy Air,DFW,GRI,675,1
