PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,MONTH
2660.00,F9,Frontier Airlines Inc.,RNO,LAS,722,1
2660.00,OH,PSA Airlines Inc.,DCA,ALB,638,1
2660.00,UA,United Air Lines Inc.,DEN,TUS,698,1
2661.00,9E,Endeavor Air Inc.,ATL,SHV,629,1
2661.00,WN,Southwest Airlines Co.,PHL,BNA,612,1
2664.00,DL,Delta Air Lines Inc.,DFW,JFK,723,1
2665.00,DL,Delta Air Lines Inc.,PHX,JFK,888,1
2665.00,WN,Southwest Airlines Co.,BDL,TPA,612,1
2666.00,UA,United Air Lines Inc.,SFO,FLL,839,1
2667.00,DL,Delta Air Lines Inc.,PHL,MSP,698,1
2667.00,UA,United Air Lines Inc.,DEN,SRQ,698,1
2667.00,WN,Southwest Airlines Co.,SAN,MSY,612,1
2667.00,YX,Republic Airline,CLE,DCA,673,1
2668.00,AA,American Airlines Inc.,PHL,TPA,614,1
2668.00,B6,JetBlue Airways,BDL,TPA,694,1
2668.00,F9,Frontier Airlines Inc.,PHL,LAS,722,1
2669.00,AS,Alaska Airlines Inc.,DEN,SEA,634,1
2669.00,NK,Spirit Air Lines,MSP,PHX,694,1
2671.00,AA,American Airlines Inc.,ORF,CLT,698,1
2671.00,AA,American Airlines Inc.,SJU,AUS,614,1
2672.00,AA,American Airlines Inc.,DFW,TUL,694,1
2672.00,OO,SkyWest Airlines Inc.,ICT,ORD,673,1
2673.00,B6,JetBlue Airways,MIA,BOS,694,1
2674.00,AS,Alaska Airlines Inc.,SFO,MCO,721,1
2674.00,NK,Spirit Air Lines,RSW,CLE,699,1
2675.00,9E,Endeavor Air Inc.,LGA,BTV,638,1
